id,installed,latitude,locked,longitude,name,bikes_count,docks_count,nbEmptyDocks,temporary,terminal_name,install_date,removal_date
334,true,51.505044,false,-0.115851,"Concert Hall Approach 1, South Bank",1,10,9,false,2635,2010-07-26,
250,true,51.489932,false,-0.162727,"Royal Avenue 1, Chelsea",0,10,10,false,3440,2010-07-20,
280,true,51.490083,false,-0.162418,"Royal Avenue 2, Chelsea",0,10,10,false,3462,2010-07-21,
404,true,51.50204238,false,-0.184400221,"Palace Gate, Kensington Gardens",12,13,0,false,1110,2011-03-09,
118,true,51.49582705,false,-0.13547809,"Rochester Row, Westminster",0,13,13,false,3457,2010-07-14,
388,true,51.51070161,false,-0.121723604,"Southampton Street, Strand",3,14,10,false,1228,2011-02-08,
171,true,51.4916156,false,-0.186753859,"Collingham Gardens, Earl's Court",1,14,12,false,3459,2010-07-16,
185,true,51.48805753,false,-0.140741432,"Alderney Street, Pimlico",0,14,12,false,1174,2010-07-17,
200,true,51.51492456,false,-0.066078037,"LMU Commercial Road, Whitechapel",0,14,12,false,1105,2010-07-18,
240,true,51.50545935,false,-0.10569204,"Colombo Street, Southwark",0,14,14,false,3472,2010-07-20,
381,true,51.51953043,false,-0.13577731,"Charlotte Street, Fitzrovia",0,14,14,false,2669,2011-01-28,
289,true,51.50923022,false,-0.151296092,"South Audley Street, Mayfair",15,15,0,false,3493,2010-07-22,
419,true,51.485821,false,-0.149004,"Chelsea Bridge, Pimlico",8,15,4,false,22160,2011-06-22,
405,true,51.49418566,false,-0.18267094,"Gloucester Road Station, South Kensington",5,15,10,false,1107,2011-03-09,
356,true,51.494412,false,-0.173881,"South Kensington Station, South Kensington",4,15,11,false,2685,2010-10-25,
393,true,51.51733427,false,-0.103604248,"Snow Hill, Farringdon",0,15,11,false,2699,2011-02-24,
324,true,51.49652013,false,-0.101384068,"Ontario Street, Elephant & Castle",0,15,13,false,1200,2010-07-23,
382,true,51.50935171,false,-0.14744969,"Farm Street, Mayfair",2,15,13,false,2678,2011-02-08,
395,true,51.492462,false,-0.159919,"Cadogan Gardens, Chelsea",1,15,14,false,2695,2011-02-28,
402,true,51.52289229,false,-0.171681991,"Penfold Street, Marylebone",1,15,14,false,10625,2011-03-08,
82,true,51.514274,false,-0.111257,"Chancery Lane, Holborn",0,15,15,false,3453,2010-07-13,
95,true,51.5208417,false,-0.097340162,"Aldersgate Street, Barbican",0,15,15,false,1065,2010-07-14,
165,true,51.517932,false,-0.183716959,"Orsett Terrace, Bayswater",0,15,15,false,2585,2010-07-16,
173,true,51.50486,false,-0.113001,"Waterloo Road, South Bank",0,15,15,false,1176,2010-07-16,
203,true,51.51821864,false,-0.100791005,"West Smithfield Rotunda, Farringdon",0,15,15,false,1040,2010-07-18,
256,true,51.51362054,false,-0.116764211,"Houghton Street, Strand",0,15,15,false,3484,2010-07-21,
261,true,51.5134891,false,-0.191351186,"Princes Square, Bayswater",0,15,15,false,3491,2010-07-21,
377,true,51.50535447,false,-0.113656543,"Waterloo Bridge, South Bank",0,15,15,false,2648,2011-01-17,
384,true,51.496481,false,-0.192404,"Marloes Road, Kensington",0,15,15,false,3505,2011-02-03,
99,true,51.51457763,false,-0.158264483,"Old Quebec Street, Marylebone",16,16,0,false,1085,2010-07-14,
257,true,51.52248185,false,-0.154907218,"Westminster University, Marylebone",14,16,1,false,1194,2010-07-21,
315,true,51.52536703,false,-0.153463612,"The Tennis Courts, The Regent's Park",15,16,1,false,1199,2010-07-23,
646,true,51.49886563,false,-0.137424571,"Buckingham Gate, Westminster",14,16,1,false,200178,2013-10-18,
21,true,51.53007835,false,-0.13884627,"Hampstead Road (Cartmel), Euston",14,16,2,false,3426,2010-07-06,
292,true,51.49888404,false,-0.165471605,"Montpelier Street, Knightsbridge",14,16,2,false,1206,2010-07-22,
56,true,51.52058381,false,-0.154701411,"Paddington Street, Marylebone",12,16,3,false,1033,2010-07-10,
386,true,51.51352755,false,-0.130110822,"Moor Street, Soho",6,16,8,false,3504,2011-02-03,
